shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,34.880283,-118.899307,302,56959.8222675
p_3592,34.879654,-118.89872,303,57047.85145481
p_3592,34.879131,-118.898132,304,57126.94713136
p_3592,34.87883,-118.897736,305,57176.19884617
p_3592,34.877766,-118.89624,306,57356.86102456
p_3592,34.876602,-118.8946,307,57554.73956641
p_3592,34.876106,-118.893944,308,57636.13240079
p_3592,34.87558,-118.893295,309,57719.35393012
p_3592,34.875072,-118.892723,310,57796.2365326
p_3592,34.874508,-118.892113,311,57880.05329569
p_3592,34.873829,-118.891434,312,57977.66488707
p_3592,34.872509,-118.890129,313,58166.5569309
p_3592,34.864254,-118.881767,314,59359.55734676
p_3592,34.863712,-118.881218,315,59437.88658279
p_3592,34.863091,-118.880623,316,59525.67187645
p_3592,34.862503,-118.880096,317,59606.77268979
p_3592,34.861828,-118.879509,318,59698.90622987
p_3592,34.86108,-118.878922,319,59797.73488058
p_3592,34.860332,-118.878365,320,59895.10108337
p_3592,34.852299,-118.872482,321,60936.06337289
p_3592,34.850182,-118.870934,322,61210.28765833
p_3592,34.848774,-118.869911,323,61392.36393952
p_3592,34.847988,-118.869316,324,61495.14763249
p_3592,34.845146,-118.867256,325,61862.43604536
p_3592,34.840851,-118.864105,326,62419.29192152
p_3592,34.840527,-118.863884,327,62460.52965832
p_3592,34.840218,-118.863693,328,62499.00426469
p_3592,34.839844,-118.86351,329,62543.74399314
p_3592,34.839478,-118.863365,330,62586.45831494
p_3592,34.839088,-118.863243,331,62631.13985088
p_3592,34.838707,-118.863159,332,62674.09972626
p_3592,34.838299,-118.863106,333,62719.62114023
p_3592,34.837887,-118.863083,334,62765.37582665
p_3592,34.837509,-118.863113,335,62807.39992596
p_3592,34.837193,-118.863167,336,62842.8024613
p_3592,34.836811,-118.863251,337,62885.87150864
p_3592,34.83646,-118.863365,338,62926.18261807
p_3592,34.836102,-118.863503,339,62967.85597191
p_3592,34.835808,-118.863647,340,63003.03087066
p_3592,34.835529,-118.863815,341,63037.58727986
p_3592,34.835228,-118.864021,342,63075.92911271
p_3592,34.834908,-118.864258,343,63117.52495161
p_3592,34.834629,-118.864525,344,63156.95178307
p_3592,34.834324,-118.864822,345,63200.34442492
p_3592,34.833286,-118.865913,346,63352.72408624
p_3592,34.831184,-118.86808,347,63658.78090137
p_3592,34.824211,-118.875328,348,64677.6176093
p_3592,34.82394,-118.875603,349,64716.81918258
p_3592,34.820389,-118.879295,350,65235.73310259
p_3592,34.819862,-118.879944,351,65319.06058327
p_3592,34.818634,-118.881454,352,65513.08024098
p_3592,34.818233,-118.881943,353,65576.17148445
p_3592,34.817833,-118.882431,354,65639.11978295
